127,17879,Cessna 210 Centurion,CN1,C210
128,15680,Cessna Citation CJ3,CNJ,C25B
129,13798,Cessna Citation CJ4,CNJ,C25C
130,2352,Cessna Citation Excel,CNJ,C56X
131,13348,Cessna Citation I,CNJ,C500
132,15621,Cessna Citation II,CNJ,C550
133,19764,Cessna Citation Mustang,CNJ,C510
134,10868,Cessna Citation Sovereign,CNJ,C680
135,9498,Cessna Citation X,CNJ,C750
136,3904,COMAC C-919,\N,C919
137,4265,Concorde,SSC,CONC
138,2331,Dassault Falcon 2000,D20,F2TH
139,18412,Dassault Falcon 50,DF3,FA50
140,17339,Dassault Falcon 7X,DF7,FA7X
141,9387,Dassault Falcon 900,DF9,F900
142,3687,De Havilland Canada DHC-2 Beaver,DHP,DHC2
143,15841,De Havilland Canada DHC-2 Turbo-Beaver,DHR,DH2T
144,8880,De Havilland Canada DHC-3 Otter,DHL,DHC3
145,8995,De Havilland Canada DHC-4 Caribou,DHC,DHC4
146,2925,De Havilland Canada DHC-6 Twin Otter,DHT,DHC6
147,9476,De Havilland Canada DHC-7 Dash 7,DH7,DHC7
148,4273,De Havilland Canada DHC-8-100 Dash 8 / 8Q,DH1,DH8A
149,16339,De Havilland Canada DHC-8-200 Dash 8 / 8Q,DH2,DH8B
150,3878,De Havilland Canada DHC-8-300 Dash 8,DH3,DH8C
151,18203,De Havilland Canada DHC-8-400 Dash 8Q,DH4,DH8D
152,12615,De Havilland DH.104 Dove,DHD,DOVE
153,11286,De Havilland DH.114 Heron,DHH,HERN
154,10071,Douglas DC-10,D10,DC10
155,384,Douglas DC-3,D3F,DC3
156,8083,Douglas DC-6,D6F,DC6
157,20287,Douglas DC-8-50,D8T,DC85
158,5731,Douglas DC-8-62,D8L,DC86
159,18938,Douglas DC-8-72,D8Q,DC87
160,16682,Douglas DC-9-10,D91,DC91
161,1450,Douglas DC-9-20,D92,DC92
162,7779,Douglas DC-9-30,D93,DC93
163,6236,Douglas DC-9-40,D94,DC94
164,10400,Douglas DC-9-50,D95,DC95
165,13542,Embraer 170,E70,E170
166,13778,Embraer 175,E75,\N
167,1694,Embraer 175 (long wing),E7W,E75L
168,15560,Embraer 175 (short wing),E7W,E75S
169,16010,Embraer 190,E90,E190
170,406,Embraer 195,E95,E195
171,830,Embraer E190-E2,290,E290
172,17992,Embraer E195-E2,295,E295
173,1854,Embraer EMB 110 Bandeirante,EMB,E110
174,3668,Embraer EMB 120 Brasilia,EM2,E120
175,10113,Embraer Legacy 450,\N,E545
176,11745,Embraer Legacy 600,ER3,E35L
177,20538,Embraer Phenom 100,EP1,E50P
178,17441,Embraer Phenom 300,EP3,E55P
179,4309,Embraer RJ135,ER3,E135
180,5039,Embraer RJ140,ERD,E135
181,10951,Embraer RJ145,ER4,E145
182,6629,Fairchild Dornier 328JET,FRJ,J328
183,13680,Fairchild Dornier Do.228,D28,D228
184,9078,Fairchild Dornier Do.328,D38,D328
185,3128,Fokker 100,100,F100
186,11877,Fokker 50,F50,F50
187,436,Fokker 70,F70,F70
188,3774,Fokker F27 Friendship,F27,F27
189,3466,Fokker F28 Fellowship,F21,F28
190,11628,Gulfstream Aerospace G-159 Gulfstream I,GRS,G159
191,20730,Gulfstream G280,GR3,G280
192,10192,Gulfstream G650,GJ6,GLF6
193,6041,Gulfstream IV,GJ4,GLF4
194,7084,Gulfstream V,GJ5,GLF5
195,11962,Gulfstream/Rockwell (Aero) Commander,ACP,AC68
196,2549,Gulfstream/Rockwell (Aero) Turbo Commander,ACT,AC90
197,2157,Harbin Yunshuji Y12,YN2,Y12
198,5483,Hawker Siddeley HS 748,HS7,A748
199,5985,Ilyushin IL114,I14,I114
200,9378,Ilyushin IL18,IL8,IL18
201,18199,Ilyushin IL62,IL6,IL62
202,17859,Ilyushin IL76,IL7,IL76
203,6808,Ilyushin IL86,ILW,IL86
204,19292,Ilyushin IL96,I93,IL96
205,16315,Learjet 35,LRJ,LJ35
206,11507,Learjet 60,LRJ,LJ60
207,11090,Lockheed L-1011 Tristar,L10,L101
208,859,Lockheed L-1049 Super Constellation,L49,CONI
209,5721,Lockheed L-182 / 282 / 382 (L-100) Hercules,LOH,C130
210,4623,Lockheed L-188 Electra,LOE,L188
211,1926,McDonnell Douglas MD-11,M11,MD11
212,20977,McDonnell Douglas MD-81,M81,MD81
213,10287,McDonnell Douglas MD-82,M82,MD82
214,16020,McDonnell Douglas MD-83,M83,MD83
215,3674,McDonnell Douglas MD-87,M87,MD87
216,8243,McDonnell Douglas MD-88,M88,MD88
217,15397,McDonnell Douglas MD-90,M90,MD90
218,830,NAMC YS-11,YS1,YS11
219,7184,Partenavia P.68,PN6,P68
220,15591,Pilatus Britten-Norman BN-2A Mk III Trislander,BNT,TRIS
221,4928,Pilatus Britten-Norman BN-2A/B Islander,BNI,BN2P
222,19499,Pilatus PC-12,PL2,PC12
223,16701,Pilatus PC-6 Turbo Porter,PL6,PC6T
224,11419,Piper PA-28 (above 200 hp),\N,P28B
225,16925,Piper PA-28 (up to 180 hp),\N,P28A
226,8815,Piper PA-31 Navajo,PA2,PA31
227,17513,Piper PA-44 Seminole,\N,PA44
228,21269,Piper PA-46,PAG,PA46
229,2235,Saab 2000,S20,SB20
230,15492,Saab SF340A/B,SF3,SF34
231,12444,Shorts SC-5 Belfast,SHB,BELF
232,495,Shorts SC-7 Skyvan,SHS,SC7
233,2271,Shorts SD.330,SH3,SH33
234,9200,Shorts SD.360,SH6,SH36
235,8213,Sikorsky S-58T,S58,S58T
236,19956,Sikorsky S-61,S61,S61
237,1245,Sikorsky S-76,S76,S76
238,16723,Sikorsky S-92,S92,S92
239,1801,Sukhoi Superjet 100-95,SU9,SU95
240,9879,Tupolev Tu-134,TU3,T134
241,3182,Tupolev Tu-144,\N,T144
242,6014,Tupolev Tu-154,TU5,T154
243,14471,Tupolev Tu-204,T20,T204
244,18111,Yakovlev Yak-40,YK4,YK40
245,6600,Yakovlev Yak-42,YK2,YK42
