76,11954,ADC Airlines,\N,Z7,ADK,ADCO,Nigeria,N
77,8414,Aero Dynamics,\N,,ADL,COTSWOLD,United Kingdom,N
78,9906,Aerolineas Dominicanas,\N,,ADM,DOMINAIR,Dominican Republic,N
79,1034,Aerodienst GmbH,\N,,ADN,AERODIENST,Germany,N
80,4419,Aerodiplomatic,\N,,ADP,AERODIPLOMATIC,Mexico,N
81,5999,Aerodyne,\N,,ADY,AERODYNE,United States,N
82,4449,Avion Taxi,\N,,ADQ,AIR DATA,Canada,N
83,9934,Adria Airways,\N,JP,ADR,ADRIA,Slovenia,Y
84,11801,Aviones de Sonora,\N,,ADS,SONORAV,Mexico,N
85,6250,Air Dorval,\N,,ADT,AIR DORVAL,Canada,N
86,4601,Airdeal Oy,\N,,ADU,AIRDEAL,Finland,N
87,4955,Advance Air Charters,\N,,ADV,ADVANCE,Canada,N
88,5557,Air Andaman,\N,,ADW,AIR ANDAMAN,Thailand,N
89,5185,Anderson Aviation,\N,,ADX,ANDAX,United States,N
90,9473,Air Europa,\N,UX,AEA,EUROPA,Spain,Y
91,4945,Air Southwest Ltd.,\N,,ASW,AIRSOUTHWEST,Canada,N
92,1744,Air Special,\N,,ASX,AIRSPEC,Czech Republic,N
93,6147,Aero Benin,\N,EM,AEB,AEROBEN,Benin,Y
94,2302,Aerocesar,\N,,AEC, Aerovias Del Cesar,AEROCESAR,N
95,7084,Aerotrans Airlines,\N,,AED,,Russia,N
96,2682,Aegean Airlines,\N,A3,AEE,AEGEAN,Greece,Y
97,6694,Aerofumigaciones Sam,\N,,AEG,FUMIGACIONES SAM,Chile,N
98,10888,Aeroexpreso Interamericano,\N,,AEI,INTERAM,Colombia,N
99,5845,Air Express,\N,,AEJ,KHAKI EXPRESS,Tanzania,N
100,47,Aerocon,\N,,AEK,AEROCON,Bolivia,N
101,479,Aero Madrid,\N,,AEM,AEROMADRID,Spain,N
102,4953,Aeroenlaces Nacionales,\N,,AEN,,Mexico,N
103,2150,Aeroservicios Ejecutivos Del Occidente,\N,,AEO,AERO OCCIDENTE,Mexico,N
104,3361,Aerotec,\N,,AEP,AEROTEC,Spain,N
105,10358,Air Atlantique,\N,KI,AAG,ATLANTIC,United Kingdom,N
106,12194,Air Europe,\N,PE,AEL,AIR EUROPE,Italy,Y
107,6138,Air Alma,\N,,AAJ,AIR ALMA,Canada,N
108,8756,Air Express,\N,,AEQ,LUNA,Sweden,N
109,8368,Alaska Central Express,\N,KO,AER,ACE AIR,United States,Y
110,9807,ACES Colombia,\N,,AES,ACES,Colombia,Y
111,2679,Aeronautical Radio of Thailand,\N,,AET,AEROTHAI,Thailand,N
112,10652,Astraeus,\N,5W,AEU,FLYSTAR,United Kingdom,Y
113,9438,Aeroventas,\N,,AEV,AEROVENTAS,Mexico,N
114,9516,Aerosvit Airlines,\N,VV,AEW,AEROSVIT,Ukraine,Y
115,254,Airway Express,\N,,AEX,AVCO,United States,N
116,10683,Air Italy,\N,I9,AEY,AIR ITALY,Italy,Y
117,7996,Aerial Transit Company,\N,,AEZ,AERIAL TRANZ,United States,N
118,8632,Alfa Air,\N,,AFA,BLUE ALFA,Czech Republic,N
119,12262,American Falcon,\N,WK,AFB,AMERICAN FALCON,Argentina,N
120,2238,Alliance Airlines,\N,QQ,UTY,UNITY,Australia,Y
121,5863,Air Universal,\N,,UVS,UNI-LEONE,Sierra Leone,N
122,11291,Auvia Air,\N,,UVT,AUVIA,Indonesia,N
123,58,African West Air,\N,,AFC,AFRICAN WEST,Senegal,N
124,3807,Airfast Indonesia,\N,,AFE,AIRFAST,Indonesia,N
125,11945,Ariana Afghan Airlines,\N,FG,AFG,ARIANA,Afghanistan,Y
126,5753,Air Fecteau,\N,,AFH,FECTO,Canada,N
127,2667,Africaone,\N,,AFI,AFRICAWORLD,Uganda,N
128,10103,Alliance,\N,,AFJ,JAMBO,Uganda,N
129,6033,Africa Air Links,\N,,AFK,AFRICA LINKS,Sierra Leone,N
130,9402,Aeroflot Russian Airlines,\N,SU,AFL,AEROFLOT,Russia,Y
131,10767,Aero Empresa Mexicana,\N,,AFO,AERO EMPRESA,Mexico,N
132,9169,Air Bosna,\N,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
133,6103,Air Bravo,\N,,BRF,AIR BRAVO,Uganda,N
134,1866,Air Brasd'or,\N,,BRL,BRASD'OR,Canada,N
135,6054,Air 500,\N,,BRM,BOOMERANG,Canada,N
136,3364,Alba Servizi Aerotrasporti,\N,,AFQ,ALBA,Italy,N
137,8371,Air France,\N,AF,AFR,AIRFRANS,France,Y
138,3911,Air Partner,\N,,ACG,AIR PARTNER,United Kingdom,N
139,3684,Air Caledonie International,\N,SB,ACI,AIRCALIN,France,Y
140,3778,Air Caledonia,\N,,ACM,WEST CAL,Canada,N
141,6091,Air Guam,\N,,AGM,AIR GUAM,United States,N
142,7676,Air Gabon,\N,GN,AGN,GOLF NOVEMBER,Gabon,N
143,10932,Air Data,\N,,AFS,,United Kingdom,N
144,570,Air Afrique Vacancies,\N,,AFV,AFRIQUE VACANCE,Ivory Coast,N
145,2542,Air Cargo America,\N,,MVM,PEGASUS,United States,N
146,2802,Air Salone,\N,2O,,,Sierra Leone,Y
147,736,Air-Angol,\N,,NGO,AIR ANGOL,Angola,N
148,9577,Air Nigeria,\N,,NGP,REGAL EAGLE,Nigeria,N
149,492,Air Cargo Carriers,\N,2Q,SNC,NIGHT CARGO,United States,Y
150,10918,Air Samarkand,\N,,SND,ARSAM,Uzbekistan,N
151,2155,Air Senegal International,\N,V7,SNG,AIR SENEGAL,Senegal,N
152,1724,Air Sandy,\N,,SNY,AIR SANDY,Canada,N
